"صـ","سـ","المطلع","اسم الشاعر","سبب التصنيف","عدد الاَبيات","البحر","الروي","images"
"256","5","هذا اَوانُ الضَّربِ والِمصَاعٖ * اَقولُ لما جَدَّ بِي زَمَاعِي","حكيم بن جبل","في قتاله اَصحاب الجمل يوم الجمل الاَصغر","6","الرجز","ع",
"256","13","ليس عليَّ اَن اَموتَ عارٗ * والعارُ في الناسِ هُو الفِرارٗ<br>والمَجدُ لا يَفضَحُه الذِّمَارٗ","حكيم بن جبل","في قتاله اَصحاب الجمل يوم الجمل الاَصغر","3","الرجز","ر",
"257","9","تَنَادَى الغُلامَانِ اِذ صلَّيا&nbsp;&nbsp;*وشَحَّ على الُملْكِ شَيخَاهُما","غلام من الاَزد","في صلوة محمد بن طلحة وعبد الله بن الزبير باَبويهما","5","المتقارب","م",
"258","8","دَعا حَكِيمٌ دعوةً سَمِيعَة * عن غيرِ ما نِكلٍ ولا خَديعَة","اَمير المؤمنين<sup> </sup><sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>","في ما صنع بعثمان بن حنيف وقتل حكيم بن جبل والسيابجة واِجلاء الربيعة","7","الرجز","ع",
"262","9","ولَستُ بتاركٍ لِلهِ عَهْدًا * ولَستُ بِناقضٍ اَبدًا عُقُودا","الاَحنف بن قيس","في منعه البيعة لطلحة والزبير ","11","الوافر","د",
"263","6","اَبَا حسنٍ اِن شئتَ جِئناك نُصرةً * واِن شئتَ كَفَّتْ عنك قاطبةً سعدٗ","صعصعة بن معاوية","في عرضه اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup> بالقدوم اِليه مع اَهل بيته اَو كفايته عنه اَربعة اٰلاف سيف","10","الطويل","د ",
"264","7","اَبلغْ لديكَ ابْنَ سُوْرٍ قولَ مُنْتَصِحٍ * يا كَعبُ لا تَستَمِعْ قولَ ابْنَ شَيمانٖ","غلام من بني دِهمان","في منع كعب بن سور الاَزدي القدوم اِلى عائشة","9","البسيط","ن",
"266","2","لَعَمْرِي لقد اَحْيا اَباه وجَدَّه * واَحْيا بني سَعدٍ بما قال جَارِيَة","حارثة بن زيد بن قدامة","في عتابه عائشة وجوابها له بكلام غليظ","11","الطويل","ي",
"267","6","ما الخبرُ * عليٌ في سَفَر* كالاَشْقَر* اِن تَقَدَّمَ نُحِر* واِنْ تَأخَّرَ عُقِر*","حفصة بنت اَبي بكر","في نزول اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>بذي قار","5","الرجز المشطور","ر",
"267","17","عَذَرْتُ الرِّجالَ لِحرب الرِّجالِ * فما للنساءِ وما لِلشِّغَابٖ","سهل بن حنيف الاَنصاري","في عتاب مولاتنا كلثوم <sup>رض</sup> حفصةَ ومزقها كتاب عائشة","6","المتقارب","ب",
"279","14","جَزَى اللهُ اَهلَ الكوفَةِ اليومَ اِنَّهم * اَجَابُوا فَلم تَنْظُرْ اِلى خَذْلِ مَن خَذَلْ","قيس بن سعد الاَنصاري","في جواب اَهل الكوفة بنصرة اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>","7","الطويل","ل",
